namer	l1	l2	order	type
RFe0	4806.65	4811.44	0.0	line
RFe1	4867.96	4870.96	0.0	line
RFe2	4874.38	4879.1	0.0	line
RFe3	4880.64	4883.64	0.0	line
RFe4	4891.36	4894.36	0.0	line
RFe5	4901.81	4909.23	0.0	line
RFe6	4915.73	4918.73	0.0	line
RFe7	4923.27	4926.27	0.0	line
RFe8	4938.19	4941.19	0.0	line
RFe9	4944.89	4947.89	0.0	line
RFe10	4948.6	4951.6	0.0	line
RFe11	4960.41	4964.07	0.0	line
RFe12	4964.59	4967.59	0.0	line
RFe13	4968.42	4971.42	0.0	line
RFe14	4983.75	4987.72	0.0	line
RFe15	4991.28	4995.63	0.0	line
RFe16	5001.29	5004.29	0.0	line
RFe17	5011.2	5016.44	0.0	line
RFe18	5020.73	5024.69	0.0	line
RFe19	5028.12	5033.41	0.0	line
RFe20	5042.71	5045.71	0.0	line
RFe21	5046.94	5051.32	0.0	line
RFe22	5053.14	5056.14	0.0	line
RFe23	5058.58	5061.58	0.0	line
RFe24	5065.65	5070.27	0.0	line
RFe25	5073.25	5076.25	0.0	line
RFe26	5077.72	5081.24	0.0	line
RFe27	5081.84	5084.84	0.0	line
RFe28	5086.65	5092.27	0.0	line
RFe29	5102.94	5105.94	0.0	line
RFe30	5105.95	5111.15	0.0	line
RFe31	5125.86	5128.86	0.0	line
RFe32	5132.19	5135.19	0.0	line
RFe33	5140.24	5145.22	0.0	line
RFe34	5149.34	5153.41	0.0	line
RFe35	5157.56	5160.56	0.0	line
RFe36	5160.77	5163.77	0.0	line
RFe37	5196.07	5200.21	0.0	line
RFe38	5212.31	5218.89	0.0	line
RFe39	5224.03	5231.34	0.0	line
RFe40	5233.12	5236.12	0.0	line
RFe41	5240.99	5245.28	0.0	line
RFe42	5245.55	5248.55	0.0	line
RFe43	5248.71	5254.96	0.0	line
RFe44	5255.43	5258.43	0.0	line
RFe45	5263.3	5266.3	0.0	line
RFe46	5282.6	5286.63	0.0	line
RFe47	5287.02	5290.02	0.0	line
RFe48	5292.46	5296.81	0.0	line
RFe49	5305.86	5308.86	0.0	line
RFe50	5319.61	5323.54	0.0	line
RFe51	5324.05	5327.05	0.0	line
RFe52	5338.43	5341.43	0.0	line
RFe53	5363.37	5366.37	0.0	line
RFe54	5372.21	5375.21	0.0	line
RFe55	5378.07	5381.07	0.0	line
RFe56	5384.83	5387.83	0.0	line
RFe57	5387.98	5390.98	0.0	line
RFe58	5396.12	5402.77	0.0	line
RFe59	5407.63	5410.63	0.0	line
RFe60	5412.57	5418.53	0.0	line
RFe61	5422.57	5426.75	0.0	line
RFe62	5434.8	5438.09	0.0	line
RFe63	5439.84	5442.84	0.0	line
RFe64	5443.54	5446.54	0.0	line
RFe65	5459.37	5467.9	0.0	line
RFe66	5468.59	5475.4	0.0	line
RFe67	5481.6	5484.6	0.0	line
RFe68	5499.96	5502.96	0.0	line
RFe69	5505.28	5508.28	0.0	line
RFe70	5520.95	5523.95	0.0	line
RFe71	5533.34	5540.78	0.0	line
RFe72	5541.65	5548.01	0.0	line
RFe73	5548.45	5551.45	0.0	line
RFe74	5553.39	5556.39	0.0	line
RFe75	5558.71	5561.71	0.0	line
RFe76	5571.34	5574.34	0.0	line
RFe77	5574.59	5577.59	0.0	line
RFe78	5617.13	5621.1	0.0	line
RFe79	5632.45	5639.76	0.0	line
